,TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
39,1610612742,Dallas,Mavericks,2019-20,75,43,32,0.573,7,2,2,4,15.0,5,N/A,41.7,90.3,0.461,15.1,41.3,0.367,18.6,23.8,0.779,10.5,36.4,46.9,24.7,19.5,6.1,12.7,4.8,117.0,3
49,1610612746,LA,Clippers,2019-20,72,49,23,0.681,2,2,7,6,15.0,5,N/A,41.6,89.2,0.466,12.4,33.5,0.371,20.8,26.3,0.791,10.7,37.0,47.7,23.7,22.1,7.1,14.6,4.7,116.3,4
45,1610612762,Utah,Jazz,2019-20,72,44,28,0.611,6,3,3,4,15.0,5,N/A,40.1,85.1,0.471,13.4,35.2,0.38,17.8,22.8,0.779,9.1,35.8,44.9,22.4,20.4,6.1,15.1,4.1,111.3,18
71,1610612747,Los Angeles,Lakers,2019-20,71,52,19,0.732,1,1,16,5,15.0,5,LEAGUE CHAMPION,42.3,88.3,0.48,11.0,31.6,0.349,17.7,24.3,0.729,10.7,35.1,45.7,25.4,20.7,8.6,15.2,6.6,113.4,11
51,1610612749,Milwaukee,Bucks,2019-20,73,56,17,0.767,1,1,5,5,15.0,5,N/A,43.3,90.9,0.476,13.8,38.9,0.355,18.3,24.7,0.742,9.5,42.2,51.7,25.9,19.6,7.2,15.1,5.9,118.7,1
31,1610612748,Miami,Heat,2019-20,73,44,29,0.603,5,1,14,7,15.0,5,FINALS APPEARANCE,39.5,84.4,0.468,13.4,35.4,0.379,19.7,25.2,0.783,8.5,35.9,44.4,25.9,20.6,7.5,14.9,4.5,112.0,15
73,1610612738,Boston,Celtics,2019-20,72,48,24,0.667,3,2,10,7,15.0,5,N/A,41.3,89.6,0.461,12.6,34.5,0.364,18.6,23.2,0.801,10.7,35.4,46.1,23.0,21.6,8.3,13.8,5.6,113.7,9
24,1610612761,Toronto,Raptors,2019-20,72,53,19,0.736,2,1,7,4,15.0,5,N/A,40.2,87.9,0.458,13.8,37.0,0.374,18.5,23.2,0.796,9.5,35.9,45.4,25.2,21.7,8.8,14.8,5.0,112.8,13
52,1610612745,Houston,Rockets,2019-20,72,44,28,0.611,4,1,5,7,15.0,5,N/A,40.8,90.4,0.451,15.6,45.3,0.345,20.6,26.1,0.791,9.8,34.5,44.3,21.6,21.8,8.7,14.7,5.2,117.8,2
43,1610612743,Denver,Nuggets,2019-20,73,46,27,0.63,3,1,9,10,15.0,5,N/A,42.0,88.9,0.473,11.0,30.6,0.359,16.2,20.9,0.777,10.8,33.4,44.1,26.7,20.3,8.0,13.8,4.6,111.3,19
30,1610612753,Orlando,Magic,2019-20,73,33,40,0.452,8,2,1,4,15.0,5,N/A,39.3,88.6,0.444,11.1,32.2,0.343,17.6,22.7,0.774,10.3,34.2,44.5,23.9,18.3,8.2,12.8,5.4,107.3,24
49,1610612757,Portland,Trail Blazers,2019-20,74,35,39,0.473,8,4,1,4,15.0,5,N/A,42.2,91.2,0.463,12.9,34.1,0.377,17.7,22.1,0.804,10.2,35.1,45.3,20.6,21.7,6.3,12.8,6.1,115.0,6
43,1610612751,Brooklyn,Nets,2019-20,72,35,37,0.486,7,4,0,4,15.0,5,N/A,40.4,90.3,0.448,13.1,38.1,0.343,17.9,24.1,0.745,10.6,37.3,47.9,24.5,21.0,6.4,15.3,4.5,111.8,16
52,1610612760,Oklahoma City,Thunder,2019-20,72,44,28,0.611,5,2,3,4,15.0,5,N/A,40.0,85.5,0.468,10.7,30.2,0.355,19.8,24.8,0.796,8.2,34.7,42.9,21.7,19.3,7.6,13.7,4.9,110.4,21
43,1610612754,Indiana,Pacers,2019-20,73,45,28,0.616,4,2,0,4,15.0,5,N/A,42.1,88.5,0.476,10.2,28.0,0.363,15.0,19.1,0.787,8.7,34.1,42.8,25.9,19.8,7.4,13.2,5.2,109.4,23
70,1610612755,Philadelphia,76ers,2019-20,73,43,30,0.589,6,3,0,4,15.0,5,N/A,41.1,87.9,0.468,11.6,31.6,0.368,16.9,22.4,0.755,10.5,35.0,45.4,25.8,20.9,8.0,14.2,5.3,110.7,20
