Season,Time,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
(2019-20),8/17/2020 0:00,UTA,DEN,125,135,-10,40.1,85.1,0.47,13.4,35.2,0.38,17.8,22.8,0.78,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,39.99,86.45,0.46,12.12,33.88,0.36,17.08,22.51,0.76,10.08,32.56,42.64,25.37,7.19,4.44,14.26,20.47,109.18,160
(2019-20),8/17/2020 0:00,BRO,TOR,110,134,-24,40.4,90.3,0.45,13.1,38.1,0.34,17.9,24.1,0.75,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21,111.8,37.79,88.32,0.43,13.1,38.86,0.34,17.83,23.19,0.77,10.92,35.14,46.06,25.57,7.22,5.49,16.83,20.36,106.51,450
(2019-20),8/17/2020 0:00,PHI,BOS,101,109,-8,41.1,87.9,0.47,11.6,31.6,0.37,16.9,22.4,0.76,10.5,35,45.4,25.8,8,5.3,14.2,20.9,110.7,38.39,87.06,0.44,11.82,34.78,0.34,18.75,24.46,0.77,10.32,34.01,44.33,22.4,7.14,5.5,15.24,20.65,107.35,230
(2019-20),8/17/2020 0:00,DAL,LAC,110,118,-8,41.7,90.3,0.46,15.1,41.3,0.37,18.6,23.8,0.78,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117,39.53,90.19,0.44,12.31,35.64,0.35,18.54,24.53,0.76,10.71,34.6,45.31,23.74,7.5,4.69,14.07,22.88,109.9,285
(2019-20),8/18/2020 0:00,ORL,MIL,122,110,12,39.3,88.6,0.44,11.1,32.2,0.34,17.6,22.7,0.77,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,38.95,94,0.41,13.97,39.33,0.36,16.73,21.25,0.79,9.49,36.32,45.81,24.16,7.37,4.47,14.11,21.73,108.59,900
(2019-20),8/18/2020 0:00,MIA,IND,113,101,12,39.5,84.4,0.47,13.4,35.4,0.38,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112,39.49,88.48,0.45,11.47,33.63,0.34,17.03,21.6,0.79,10.37,34.86,45.23,23.1,6.9,4.59,14.67,18.81,107.48,-185
(2019-20),8/18/2020 0:00,OCT,HOU,108,123,-15,40,85.5,0.47,10.7,30.2,0.36,19.8,24.8,0.80,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,42.29,91.51,0.46,12.22,35.03,0.35,18.04,23.69,0.76,11.15,36.74,47.89,25.26,8.03,4.92,16.15,21.04,114.85,-110
(2019-20),8/18/2020 0:00,POR,LAL,100,93,7,42.1,91.1,0.46,12.9,34.2,0.38,18,22.3,0.81,10.2,35.1,45.2,20.6,6.4,6.1,12.8,21.7,115.1,39.06,87.14,0.45,11.65,33.42,0.35,17.89,22.9,0.78,9.41,32.86,42.27,23.41,8.24,3.7,15.92,21.75,107.65,250
(2019-20),8/19/2020 0:00,PHI,BOS,101,128,-27,41.1,87.9,0.47,11.6,31.6,0.37,16.9,22.4,0.76,10.5,35,45.4,25.8,8,5.3,14.2,20.9,110.7,38.39,87.06,0.44,11.82,34.78,0.34,18.75,24.46,0.77,10.32,34.01,44.33,22.4,7.14,5.5,15.24,20.65,107.35,175
(2019-20),8/19/2020 0:00,DAL,LAC,127,114,13,41.7,90.3,0.46,15.1,41.3,0.37,18.6,23.8,0.78,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117,39.53,90.19,0.44,12.31,35.64,0.35,18.54,24.53,0.76,10.71,34.6,45.31,23.74,7.5,4.69,14.07,22.88,109.9,175
(2019-20),8/19/2020 0:00,UTA,DEN,124,105,19,40.1,85.1,0.47,13.4,35.2,0.38,17.8,22.8,0.78,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,39.99,86.45,0.46,12.12,33.88,0.36,17.08,22.51,0.76,10.08,32.56,42.64,25.37,7.19,4.44,14.26,20.47,109.18,-120
(2019-20),8/19/2020 0:00,BRO,TOR,99,104,-5,40.4,90.3,0.45,13.1,38.1,0.34,17.9,24.1,0.75,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21,111.8,37.79,88.32,0.43,13.1,38.86,0.34,17.83,23.19,0.77,10.92,35.14,46.06,25.57,7.22,5.49,16.83,20.36,106.51,450
(2019-20),8/20/2020 0:00,MIA,IND,109,100,9,39.5,84.4,0.47,13.4,35.4,0.38,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112,39.49,88.48,0.45,11.47,33.63,0.34,17.03,21.6,0.79,10.37,34.86,45.23,23.1,6.9,4.59,14.67,18.81,107.48,-175
(2019-20),8/20/2020 0:00,OCT,HOU,98,111,-13,40,85.5,0.47,10.7,30.2,0.36,19.8,24.8,0.80,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,42.29,91.51,0.46,12.22,35.03,0.35,18.04,23.69,0.76,11.15,36.74,47.89,25.26,8.03,4.92,16.15,21.04,114.85,115
(2019-20),8/20/2020 0:00,ORL,MIL,96,111,-15,39.3,88.6,0.44,11.1,32.2,0.34,17.6,22.7,0.77,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,38.95,94,0.41,13.97,39.33,0.36,16.73,21.25,0.79,9.49,36.32,45.81,24.16,7.37,4.47,14.11,21.73,108.59,800
(2019-20),8/20/2020 0:00,POR,LAL,88,111,-23,42.1,91.1,0.46,12.9,34.2,0.38,18,22.3,0.81,10.2,35.1,45.2,20.6,6.4,6.1,12.8,21.7,115.1,39.06,87.14,0.45,11.65,33.42,0.35,17.89,22.9,0.78,9.41,32.86,42.27,23.41,8.24,3.7,15.92,21.75,107.65,205
(2019-20),8/21/2020 0:00,TOR,BRO,117,92,25,40.2,87.9,0.46,13.8,37,0.37,18.5,23.2,0.80,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8,41.4,92.89,0.45,12.18,34.79,0.35,17.36,22.57,0.77,10.64,35.29,45.93,22.64,7.69,5.26,12.76,21.13,112.35,-600
(2019-20),8/21/2020 0:00,DEN,UTA,87,124,-37,42,88.9,0.47,11,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,40.69,89.13,0.46,10.97,31.04,0.35,16.46,21.46,0.77,9.56,33.14,42.69,21.5,7.86,4.57,12.35,20.85,108.82,100
(2019-20),8/21/2020 0:00,BOS,PHI,102,94,8,41.3,89.6,0.46,12.6,34.5,0.36,18.6,23.2,0.80,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7,39.79,85.96,0.46,10.4,29.42,0.35,18.37,24.47,0.75,8.6,33.23,41.84,22.75,6.99,4.03,13.82,20.45,108.36,-240
(2019-20),8/21/2020 0:00,LAC,DAL,130,122,8,41.6,89.2,0.47,12.4,33.5,0.37,20.8,26.3,0.79,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3,41.91,91.57,0.46,12.25,34.87,0.35,16,21.04,0.76,10.43,35,45.43,23.92,7,4.15,11.95,21.35,112.07,-210
(2019-20),8/22/2020 0:00,MIL,ORL,121,107,14,43.3,90.9,0.48,13.8,38.9,0.36,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,40.4,86.89,0.47,12.23,33.6,0.36,15.26,19.79,0.77,9.04,35.84,44.88,24.71,7,4.63,14.59,19.45,108.29,-1100
(2019-20),8/22/2020 0:00,IND,MIA,115,124,-9,42.1,88.5,0.48,10.2,28,0.36,15,19.1,0.79,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,38.78,86.66,0.45,13.1,37.71,0.35,18.44,23.56,0.78,9.23,33.3,42.53,24.58,7.47,4.14,14,21.7,109.1,180
(2019-20),8/22/2020 0:00,HOU,OCT,107,119,-12,40.8,90.4,0.45,15.6,45.3,0.35,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,40.79,89.64,0.46,11.31,33.26,0.34,15.54,19.56,0.80,10.47,34.33,44.81,23,7.01,4.03,14.22,22.79,108.43,-130
(2019-20),8/22/2020 0:00,LAL,POR,116,108,8,42.3,88.3,0.48,11,31.6,0.35,17.7,24.3,0.73,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,41.8,91.64,0.46,13.56,35.25,0.39,19.04,24.67,0.77,11.52,35.39,46.91,24.93,6.76,4.93,12.95,20.17,116.2,-350
(2019-20),8/23/2020 0:00,TOR,BRO,150,122,28,40.2,87.9,0.46,13.8,37,0.37,18.5,23.2,0.80,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8,41.4,92.89,0.45,12.18,34.79,0.35,17.36,22.57,0.77,10.64,35.29,45.93,22.64,7.69,5.26,12.76,21.13,112.35,-1400
(2019-20),8/23/2020 0:00,DEN,UTA,127,129,-2,42,88.9,0.47,11,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,40.69,89.13,0.46,10.97,31.04,0.35,16.46,21.46,0.77,9.56,33.14,42.69,21.5,7.86,4.57,12.35,20.85,108.82,140
