Season,Time,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
(2020-21),5/22/2021 0:00,MIA,MIL,107,109,-2,39.22,83.74,0.47,12.94,36.19,0.36,16.68,21.11,0.79,8.04,33.46,41.50,26.32,7.90,3.97,14.07,18.93,108.07,44.74,83.74,0.47,12.94,36.19,0.36,16.68,21.11,0.79,8.04,33.46,41.50,26.32,7.90,3.97,14.07,18.93,108.07,190
(2020-21),5/22/2021 0:00,DAL,LAC,113,103,10,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.79,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,210
(2020-21),5/22/2021 0:00,BOS,BRO,93,104,-11,41.46,88.90,0.47,13.60,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,43.14,88.90,0.47,13.60,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,320
(2020-21),5/22/2021 0:00,POR,DEN,123,109,14,41.29,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.90,44.54,21.26,6.89,5.04,11.10,18.92,116.11,43.25,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.90,44.54,21.26,6.89,5.04,11.10,18.92,116.11,100
(2020-21),5/23/2021 0:00,WAS,PHI,118,125,-7,43.17,90.93,0.47,10.18,29.00,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.40,21.60,116.64,41.40,90.93,0.47,10.18,29.00,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.40,21.60,116.64,300
(2020-21),5/23/2021 0:00,LAL,PHO,90,99,-9,40.63,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,43.31,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,120
(2020-21),5/23/2021 0:00,ATL,NYK,107,105,2,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,39.43,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,100
(2020-21),5/23/2021 0:00,MEM,UTA,112,109,3,42.85,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.10,5.06,13.29,18.74,113.29,41.26,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.10,5.06,13.29,18.74,113.29,315
(2020-21),5/24/2021 0:00,MIA,MIL,98,132,-34,39.22,83.74,0.47,12.94,36.19,0.36,16.68,21.11,0.79,8.04,33.46,41.50,26.32,7.90,3.97,14.07,18.93,108.07,44.74,83.74,0.47,12.94,36.19,0.36,16.68,21.11,0.79,8.04,33.46,41.50,26.32,7.90,3.97,14.07,18.93,108.07,180
(2020-21),5/24/2021 0:00,POR,DEN,109,128,-19,41.29,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.90,44.54,21.26,6.89,5.04,11.10,18.92,116.11,43.25,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.90,44.54,21.26,6.89,5.04,11.10,18.92,116.11,110
(2020-21),5/25/2021 0:00,BOS,BRO,108,130,-22,41.46,88.90,0.47,13.60,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,43.14,88.90,0.47,13.60,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,400
(2020-21),5/25/2021 0:00,LAL,PHO,109,102,7,40.63,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,43.31,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,-135
(2020-21),5/25/2021 0:00,DAL,LAC,127,121,6,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.79,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,260
(2020-21),5/26/2021 0:00,WAS,PHI,95,120,-25,43.17,90.93,0.47,10.18,29.00,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.40,21.60,116.64,41.40,90.93,0.47,10.18,29.00,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.40,21.60,116.64,320
(2020-21),5/26/2021 0:00,ATL,NYK,92,101,-9,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,39.43,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,115
(2020-21),5/26/2021 0:00,MEM,UTA,129,141,-12,42.85,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.10,5.06,13.29,18.74,113.29,41.26,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.10,5.06,13.29,18.74,113.29,425
(2020-21),5/27/2021 0:00,MIL,MIA,113,84,29,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,39.22,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,-125
(2020-21),5/27/2021 0:00,PHO,LAL,95,109,-14,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,40.63,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,240
(2020-21),5/27/2021 0:00,DEN,POR,120,115,5,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,41.29,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,150
(2020-21),5/28/2021 0:00,NYK,ATL,94,105,-11,39.43,86.46,0.46,11.76,30.04,0.39,16.40,20.92,0.78,9.67,35.47,45.14,21.40,7.04,5.07,12.94,20.46,107.03,40.79,86.46,0.46,11.76,30.04,0.39,16.40,20.92,0.78,9.67,35.47,45.14,21.40,7.04,5.07,12.94,20.46,107.03,170
(2020-21),5/28/2021 0:00,BRO,BOS,119,125,-6,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,41.46,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,-330
(2020-21),5/28/2021 0:00,LAC,DAL,118,108,10,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,41.08,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,-155
(2020-21),5/29/2021 0:00,MIL,MIA,120,103,17,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,39.22,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,-185
(2020-21),5/29/2021 0:00,DEN,POR,95,115,-20,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,41.29,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,175
(2020-21),5/29/2021 0:00,PHI,WAS,132,103,29,41.40,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,43.17,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,-220
(2020-21),5/29/2021 0:00,UTA,MEM,121,111,10,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,42.85,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,-215
(2020-21),5/30/2021 0:00,NYK,ATL,96,113,-17,39.43,86.46,0.46,11.76,30.04,0.39,16.40,20.92,0.78,9.67,35.47,45.14,21.40,7.04,5.07,12.94,20.46,107.03,40.79,86.46,0.46,11.76,30.04,0.39,16.40,20.92,0.78,9.67,35.47,45.14,21.40,7.04,5.07,12.94,20.46,107.03,170
(2020-21),5/30/2021 0:00,PHO,LAL,100,92,8,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,40.63,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,250
(2020-21),5/30/2021 0:00,BRO,BOS,141,126,15,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,41.46,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,-420
(2020-21),5/30/2021 0:00,LAC,DAL,106,81,25,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,41.08,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,-160
(2020-21),5/31/2021 0:00,PHI,WAS,114,122,-8,41.40,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,43.17,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,-380
(2020-21),5/31/2021 0:00,UTA,MEM,120,113,7,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,42.85,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,-240
