Time,Season,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
2021-05-22,(2020-21),MIA,MIL,107,109,2,39.22,83.74,0.47,12.94,36.19,0.36,16.68,21.11,0.79,8.04,33.46,41.5,26.32,7.9,3.97,14.07,18.93,108.07,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,-220
2021-05-22,(2020-21),DAL,LAC,113,103,-10,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,-250
2021-05-22,(2020-21),BOS,BRO,93,104,11,41.46,88.9,0.47,13.6,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,-380
2021-05-22,(2020-21),POR,DEN,123,109,-14,41.29,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.9,44.54,21.26,6.89,5.04,11.1,18.92,116.11,43.30,89.20,0.48,12.90,34.20,0.38,15.70,19.50,0.80,10.50,33.90,44.40,26.80,8.10,4.50,13.50,19.10,115.10,-120
2021-05-23,(2020-21),WAS,PHI,118,125,7,43.17,90.93,0.47,10.18,29,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.4,21.6,116.64,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-360
2021-05-23,(2020-21),LAL,PHO,90,99,9,40.63,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,-140
2021-05-23,(2020-21),ATL,NYK,107,105,-2,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,39.40,86.50,0.46,11.80,30.00,0.39,16.40,20.90,0.78,9.70,35.50,45.10,21.40,7.00,5.10,12.90,20.50,107.00,-120
2021-05-23,(2020-21),MEM,UTA,112,109,-3,42.85,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.1,5.06,13.29,18.74,113.29,41.30,88.10,0.47,16.70,43.00,0.39,17.20,21.50,0.80,10.60,37.60,48.30,23.70,6.60,5.20,14.20,18.50,116.40,-375
2021-05-24,(2020-21),MIA,MIL,98,132,34,39.22,83.74,0.47,12.94,36.19,0.36,16.68,21.11,0.79,8.04,33.46,41.5,26.32,7.9,3.97,14.07,18.93,108.07,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,-210
2021-05-24,(2020-21),POR,DEN,109,128,19,41.29,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.9,44.54,21.26,6.89,5.04,11.1,18.92,116.11,43.30,89.20,0.48,12.90,34.20,0.38,15.70,19.50,0.80,10.50,33.90,44.40,26.80,8.10,4.50,13.50,19.10,115.10,-130
2021-05-25,(2020-21),BOS,BRO,108,130,22,41.46,88.9,0.47,13.6,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,-500
2021-05-25,(2020-21),LAL,PHO,109,102,-7,40.63,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,115
2021-05-25,(2020-21),DAL,LAC,127,121,-6,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,-310
2021-05-26,(2020-21),WAS,PHI,95,120,25,43.17,90.93,0.47,10.18,29,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.4,21.6,116.64,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-380
2021-05-26,(2020-21),ATL,NYK,92,101,9,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,39.40,86.50,0.46,11.80,30.00,0.39,16.40,20.90,0.78,9.70,35.50,45.10,21.40,7.00,5.10,12.90,20.50,107.00,-135
2021-05-26,(2020-21),MEM,UTA,129,141,12,42.85,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.1,5.06,13.29,18.74,113.29,41.30,88.10,0.47,16.70,43.00,0.39,17.20,21.50,0.80,10.60,37.60,48.30,23.70,6.60,5.20,14.20,18.50,116.40,-550
