Type,Date,Season,VTeam,HTeam,Vscore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
Playoffs,2008-04-19,(2007-08),WAS,CLE,86,93,7,36.41,81.65,0.45,7.01,19.68,0.36,18.99,24.28,0.78,12.28,29.32,41.6,19.6,7.71,4.77,13.2,19.59,98.83,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,-175
Playoffs,2008-04-19,(2007-08),PHO,SAS,115,117,2,41.37,82.71,0.5,8.46,21.51,0.39,18.88,24.11,0.78,8.78,32.72,41.5,26.68,6.49,6.32,14.44,19.91,110.07,35.83,78.34,0.46,7.24,19.63,0.37,16.46,21.63,0.76,9.4,31.85,41.26,20.95,6.35,4.11,12.62,18.74,95.37,-200
Playoffs,2008-04-19,(2007-08),DAL,NOH,92,104,12,36.89,79.45,0.46,6.02,17.11,0.35,20.61,25.3,0.81,10.77,32.23,43,20.98,5.98,4.9,12.65,21.78,100.41,38.59,82.88,0.47,7.68,19.77,0.39,16,20.82,0.77,11.43,30.41,41.84,21.77,7.77,3.91,11.88,18.67,100.85,-205
Playoffs,2008-04-19,(2007-08),UTA,HOU,93,82,-11,39.99,80.39,0.5,4.96,13.35,0.37,21.28,28.02,0.76,11.49,29.39,40.88,26.4,8.74,4.33,14.63,24.02,106.22,36.62,81.68,0.45,7.11,20.82,0.34,16.37,22.54,0.73,12.22,32.43,44.65,21.43,7.29,5.12,13.72,19.62,96.72,-110
Playoffs,2008-04-20,(2007-08),TOR,ORL,100,114,14,38.39,82.02,0.47,6.98,17.79,0.39,16.43,20.22,0.81,9.63,30.44,40.07,23.82,6.95,4.1,11.7,19.46,100.18,37.29,78.61,0.47,9.77,25.29,0.39,20.12,27.9,0.72,9.37,32.65,42.01,20.8,6.34,4.06,14.3,20.59,104.48,-265
Playoffs,2008-04-20,(2007-08),DEN,LAL,114,128,14,40.33,85.83,0.47,6.94,19.57,0.35,23.06,30.72,0.75,11.2,32.9,44.1,24.68,9.17,6.72,14.67,21.11,110.66,39.61,83.15,0.48,8.07,21.35,0.38,21.29,27.68,0.77,10.95,33.2,44.15,24.43,7.98,5.34,14.1,20.62,108.59,-400
Playoffs,2008-04-20,(2007-08),PHI,DET,90,86,-4,37.27,81.07,0.46,3.68,11.61,0.32,18.4,26.06,0.71,13.01,28.9,41.91,20.4,8.68,4.88,14.29,19.76,96.62,36.57,79.89,0.46,5.94,16.22,0.37,18.38,23.96,0.77,11.88,29.55,41.43,22.33,7.11,5.76,11.66,20.59,97.46,-550
Playoffs,2008-04-20,(2007-08),ATL,BOS,81,104,23,36.28,79.9,0.45,4.68,13.15,0.36,20.98,27.16,0.77,12.29,29.93,42.22,22,7.32,5.46,14.91,20.4,98.22,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,-3000
Playoffs,2008-04-21,(2007-08),WAS,CLE,86,116,30,36.41,81.65,0.45,7.01,19.68,0.36,18.99,24.28,0.78,12.28,29.32,41.6,19.6,7.71,4.77,13.2,19.59,98.83,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,-125
Playoffs,2008-04-21,(2007-08),UTA,HOU,90,84,-6,39.99,80.39,0.5,4.96,13.35,0.37,21.28,28.02,0.76,11.49,29.39,40.88,26.4,8.74,4.33,14.63,24.02,106.22,36.62,81.68,0.45,7.11,20.82,0.34,16.37,22.54,0.73,12.22,32.43,44.65,21.43,7.29,5.12,13.72,19.62,96.72,-115
